nameWithOwner,createdAt,pullRequests,releases,updatedAt,primaryLanguage,issues,closedIssues,ageInYears,ageInMonths,releasesMonth,daysFromUpdate
vercel/next.js,05/10/2016 23:32:51,14769,1000,08/03/2023 13:58:56,JavaScript,15365,14112,6,78.63207321296298,12.717456874011862,0.5274741666666667
justjavac/free-programming-books-zh_CN,04/11/2013 01:59:19,451,3,08/03/2023 13:31:09,,0,0,9,114.11736950925926,0.02628872373154891,0.9905297222222222
axios/axios,18/08/2014 22:30:27,1333,57,08/03/2023 12:49:01,JavaScript,4120,3785,8,104.6334065462963,0.5447590963673697,1.6927519444444443
facebook/create-react-app,17/07/2016 14:55:11,4125,83,08/03/2023 14:07:11,JavaScript,8003,6465,6,81.58633247222222,1.017327259173699,0.3899741666666667
avelino/awesome-go,06/07/2014 13:42:15,4170,0,08/03/2023 13:47:57,Go,554,527,8,105.5935176574074,0.0,0.7105297222222222
kubernetes/kubernetes,06/06/2014 22:56:04,73545,587,08/03/2023 14:21:58,Go,42616,41002,8,107.05250839814815,5.483290478508342,0.1435852777777778
nodejs/node,26/11/2014 19:57:11,29766,334,08/03/2023 14:16:22,JavaScript,15652,14364,8,101.3852213611111,3.2943657420282975,0.23691861111111112
practical-tutorials/project-based-learning,12/04/2017 05:07:46,311,0,08/03/2023 14:16:59,,69,44,5,72.17934173148147,0.0,0.22664083333333335
trimstray/the-book-of-secret-knowledge,23/06/2018 10:43:14,230,0,08/03/2023 14:04:45,,0,0,4,57.42630469444445,0.0,0.43052972222222224
mrdoob/three.js,23/03/2010 18:58:01,13847,142,08/03/2023 12:34:39,JavaScript,11607,11245,12,158.38475839814814,0.896550914596466,1.932196388888889
microsoft/TypeScript,17/06/2014 15:28:39,15846,168,08/03/2023 12:42:39,TypeScript,36356,30523,8,106.9344065462963,1.5710565516372497,1.7988630555555554
denoland/deno,15/05/2018 01:34:26,9774,215,08/03/2023 13:56:35,Rust,7412,6266,4,59.03119358333334,3.6421421785498564,0.5666408333333334
microsoft/terminal,11/08/2017 18:38:22,3476,89,08/03/2023 13:21:09,C++,11055,9544,5,68.46234173148149,1.2999847470755523,1.1571963888888888
microsoft/PowerToys,01/05/2019 17:44:02,4299,77,08/03/2023 14:15:27,C#,20288,15725,3,47.55919358333334,1.619035021379839,0.2521963888888889
yangshun/tech-interview-handbook,05/07/2016 05:00:48,498,0,08/03/2023 12:57:01,TypeScript,69,54,6,81.54987876851852,0.0,1.559418611111111
goldbergyoni/nodebestpractices,15/09/2017 08:33:19,900,0,08/03/2023 14:21:15,JavaScript,300,279,5,66.86514728703705,0.0,0.15552972222222222
angular/angular,18/09/2014 16:12:01,23361,249,08/03/2023 13:33:52,TypeScript,24952,23755,8,103.8103139537037,2.3986055962709694,0.9452519444444445
mui/material-ui,18/08/2014 19:11:54,18557,398,08/03/2023 14:12:23,JavaScript,17041,15858,8,104.74371210185186,3.7997507632056076,0.3033075
ant-design/ant-design,24/04/2015 15:37:24,13500,564,08/03/2023 14:14:16,TypeScript,26033,25129,7,96.56287876851852,5.840753788544626,0.2719186111111111
huggingface/transformers,29/10/2018 13:56:00,10923,108,08/03/2023 14:20:32,Python,11019,10588,4,53.05254543518519,2.035717591193521,0.16747416666666667
puppeteer/puppeteer,09/05/2017 22:16:13,3812,180,08/03/2023 14:03:05,TypeScript,5862,5612,5,71.47464728703704,2.5183754916219865,0.45830750000000003
PanJiaChen/vue-element-admin,17/04/2017 03:35:49,571,49,08/03/2023 14:09:48,Vue,3510,2333,5,72.06375839814815,0.6799534341419968,0.3463630555555556
ryanmcdermott/clean-code-javascript,25/11/2016 22:25:41,269,0,08/03/2023 13:31:41,JavaScript,135,81,6,76.96938802777778,0.0,0.9816408333333334
iluwatar/java-design-patterns,09/08/2014 16:45:18,1616,0,08/03/2023 14:01:31,Java,845,659,8,105.12515654629631,0.0,0.4844186111111111
rust-lang/rust,16/06/2010 20:39:03,61176,108,08/03/2023 12:59:08,Rust,47459,38636,12,155.4952954351852,0.6945547754209543,1.5241408333333333
Genymobile/scrcpy,21/11/2017 18:00:27,345,29,08/03/2023 14:20:29,C,3389,2164,5,65.0834065462963,0.4455820851874309,0.1683075
animate-css/animate.css,12/10/2011 10:07:38,791,22,08/03/2023 11:48:36,CSS,842,819,11,138.97941580555556,0.1582968231121358,2.699696388888889
storybookjs/storybook,18/03/2016 04:23:44,9952,1000,08/03/2023 13:17:55,TypeScript,10254,8313,6,85.20380469444444,11.736565093380191,1.2110852777777776
nvbn/thefuck,08/04/2015 15:08:04,663,17,08/03/2023 12:49:59,Python,664,453,7,97.11250839814815,0.17505468945671035,1.6766408333333331
tensorflow/models,05/02/2016 01:15:20,3723,29,08/03/2023 13:21:10,Jupyter Notebook,7077,6023,7,86.70847136111111,0.33445405673483647,1.156918611111111
gothinkster/realworld,26/02/2016 20:49:53,513,0,08/03/2023 13:00:01,TypeScript,509,459,7,86.12261025000001,0.0,1.509418611111111
laravel/laravel,08/06/2011 03:06:08,4479,135,08/03/2023 13:58:17,PHP,0,0,11,143.41358247222223,0.9413334335061893,0.5383074999999999
MisterBooo/LeetCodeAnimation,06/12/2018 08:01:22,74,0,08/03/2023 13:44:10,Java,58,42,4,51.98289728703704,0.0,0.7735852777777777
FortAwesome/Font-Awesome,17/02/2012 14:19:43,663,50,08/03/2023 09:05:06,JavaScript,18759,13448,11,134.5727028425926,0.3715463756307559,5.424696388888889
papers-we-love/papers-we-love,15/12/2013 14:31:41,495,0,08/03/2023 12:54:09,Shell,191,172,9,113.09938802777778,0.0,1.6071963888888887
mtdvio/every-programmer-should-know,24/08/2017 13:18:26,159,0,08/03/2023 14:04:27,,42,18,5,67.44008247222223,0.0,0.43552972222222225
django/django,28/04/2012 02:47:18,16586,0,08/03/2023 13:30:21,Python,0,0,10,132.59071210185184,0.0,1.0038630555555554
